date,day_of_week,menu_type,students_expected,students_served,meals_prepared,meals_consumed,leftover_meals
2025-03-11,Tuesday,Breakfast,231,212,236,211,25
2025-03-12,Wednesday,Special,293,277,292,267,25
2025-03-13,Thursday,Special,228,193,198,186,12
2025-03-14,Friday,Regular,171,141,160,136,24
2025-03-15,Saturday,Regular,147,136,143,135,8
2025-03-16,Sunday,Lunch,88,79,86,76,10
2025-03-17,Monday,Special,260,219,226,210,16
2025-03-18,Tuesday,Regular,251,209,221,208,13
2025-03-19,Wednesday,Lunch,228,187,209,184,25
2025-03-20,Thursday,Regular,259,231,255,217,38
2025-03-21,Friday,Regular,277,266,280,250,30
2025-03-22,Saturday,Special,128,116,128,113,15
2025-03-23,Sunday,Breakfast,50,41,44,40,4
2025-03-24,Monday,Lunch,183,161,177,155,22
2025-03-25,Tuesday,Breakfast,186,171,192,167,25
2025-03-26,Wednesday,Lunch,202,174,182,167,15
2025-03-27,Thursday,Special,286,249,275,239,36
2025-03-28,Friday,Special,244,210,227,206,21
2025-03-29,Saturday,Lunch,128,120,134,114,20
2025-03-30,Sunday,Regular,59,55,61,54,7
2025-03-31,Monday,Lunch,271,238,266,228,38
2025-04-01,Tuesday,Lunch,221,211,226,207,19
2025-04-02,Wednesday,Breakfast,220,193,210,187,23
2025-04-03,Thursday,Special,270,260,278,244,34
2025-04-04,Friday,Breakfast,233,204,233,200,33
2025-04-05,Saturday,Breakfast,106,97,104,92,12
2025-04-06,Sunday,Lunch,74,68,76,67,9
2025-04-07,Monday,Breakfast,184,178,204,177,27
2025-04-08,Tuesday,Breakfast,122,110,122,109,13
2025-04-09,Wednesday,Special,189,181,204,174,30
2025-04-10,Thursday,Special,217,206,229,194,35
2025-04-11,Friday,Special,224,204,230,202,28
2025-04-12,Saturday,Breakfast,90,87,97,83,14
2025-04-13,Sunday,Breakfast,50,44,48,42,6
2025-04-14,Monday,Breakfast,129,115,117,111,6
2025-04-15,Tuesday,Lunch,217,182,188,178,10
2025-04-16,Wednesday,Breakfast,128,109,116,105,11
2025-04-17,Thursday,Lunch,184,166,178,164,14
2025-04-18,Friday,Lunch,204,185,196,174,22
2025-04-19,Saturday,Breakfast,97,94,102,91,11
2025-04-20,Sunday,Breakfast,50,46,50,45,5
2025-04-21,Monday,Breakfast,185,180,184,173,11
2025-04-22,Tuesday,Lunch,183,159,165,155,10
2025-04-23,Wednesday,Special,194,167,178,159,19
2025-04-24,Thursday,Special,212,183,196,178,18
2025-04-25,Friday,Regular,271,227,233,226,7
2025-04-26,Saturday,Breakfast,124,109,124,108,16
2025-04-27,Sunday,Regular,94,77,82,76,6
2025-04-28,Monday,Breakfast,219,192,214,185,29
2025-04-29,Tuesday,Breakfast,182,173,187,166,21
2025-04-30,Wednesday,Regular,160,132,149,130,19
2025-05-01,Thursday,Regular,254,248,270,244,26
2025-05-02,Friday,Special,215,189,198,179,19
2025-05-03,Saturday,Breakfast,68,62,65,60,5
2025-05-04,Sunday,Special,98,80,86,77,9
2025-05-05,Monday,Breakfast,125,119,129,115,14
2025-05-06,Tuesday,Breakfast,209,191,206,184,22
2025-05-07,Wednesday,Regular,260,239,268,237,31
2025-05-08,Thursday,Lunch,223,217,238,212,26
2025-05-09,Friday,Breakfast,200,192,204,186,18
2025-05-10,Saturday,Breakfast,100,95,108,90,18
2025-05-11,Sunday,Special,92,79,85,78,7
2025-05-12,Monday,Special,234,199,217,191,26
2025-05-13,Tuesday,Regular,270,241,264,232,32
2025-05-14,Wednesday,Lunch,175,148,164,142,22
2025-05-15,Thursday,Breakfast,209,193,201,183,18
2025-05-16,Friday,Regular,178,150,158,142,16
2025-05-17,Saturday,Special,130,117,124,116,8
2025-05-18,Sunday,Special,120,104,107,100,7
2025-05-19,Monday,Breakfast,202,193,219,182,37
2025-05-20,Tuesday,Lunch,185,175,195,166,29
2025-05-21,Wednesday,Breakfast,195,175,192,168,24
2025-05-22,Thursday,Special,269,223,231,211,20
2025-05-23,Friday,Breakfast,120,108,117,102,15
2025-05-24,Saturday,Breakfast,99,85,89,81,8
2025-05-25,Sunday,Breakfast,50,47,48,45,3
2025-05-26,Monday,Regular,184,160,173,153,20
2025-05-27,Tuesday,Regular,264,236,258,232,26
2025-05-28,Wednesday,Lunch,270,246,268,236,32
2025-05-29,Thursday,Special,289,266,291,255,36
2025-05-30,Friday,Special,282,273,278,260,18
2025-05-31,Saturday,Breakfast,134,113,118,108,10
2025-06-01,Sunday,Lunch,80,77,79,74,5
2025-06-02,Monday,Regular,199,194,200,186,14
2025-06-03,Tuesday,Breakfast,228,187,214,181,33
2025-06-04,Wednesday,Breakfast,212,205,223,199,24
2025-06-05,Thursday,Regular,210,198,206,189,17
2025-06-06,Friday,Lunch,178,160,168,151,17
2025-06-07,Saturday,Lunch,113,94,102,93,9
2025-06-08,Sunday,Breakfast,50,41,43,38,5
2025-06-09,Monday,Special,203,173,191,163,28
2025-06-10,Tuesday,Regular,222,182,188,176,12
2025-06-11,Wednesday,Breakfast,175,153,174,151,23
2025-06-12,Thursday,Special,290,281,322,267,55
2025-06-13,Friday,Breakfast,238,223,244,220,24
2025-06-14,Saturday,Regular,110,103,115,101,14
2025-06-15,Sunday,Regular,86,73,80,72,8
2025-06-16,Monday,Regular,248,226,250,218,32
2025-06-17,Tuesday,Special,291,267,291,258,33
2025-06-18,Wednesday,Regular,256,224,239,217,22
2025-06-19,Thursday,Lunch,212,181,197,174,23
2025-06-20,Friday,Breakfast,188,164,170,161,9
2025-06-21,Saturday,Regular,128,115,130,113,17
2025-06-22,Sunday,Regular,87,75,78,73,5
2025-06-23,Monday,Special,238,224,254,215,39
2025-06-24,Tuesday,Regular,197,165,186,156,30
2025-06-25,Wednesday,Breakfast,167,151,163,145,18
2025-06-26,Thursday,Special,232,215,234,205,29
2025-06-27,Friday,Lunch,228,193,219,188,31
2025-06-28,Saturday,Breakfast,77,74,76,72,4
2025-06-29,Sunday,Regular,67,57,63,55,8
2025-06-30,Monday,Lunch,267,258,289,242,47
2025-07-01,Tuesday,Regular,265,241,264,232,32
2025-07-02,Wednesday,Special,205,195,221,184,37
2025-07-03,Thursday,Regular,260,220,229,217,12
2025-07-04,Friday,Breakfast,119,107,117,103,14
2025-07-05,Saturday,Regular,152,129,144,125,19
2025-07-06,Sunday,Breakfast,50,45,51,43,8
2025-07-07,Monday,Breakfast,220,212,232,199,33
2025-07-08,Tuesday,Special,243,221,230,208,22
2025-07-09,Wednesday,Regular,192,181,191,172,19
2025-07-10,Thursday,Regular,273,246,282,238,44
2025-07-11,Friday,Special,210,175,201,169,32
2025-07-12,Saturday,Lunch,100,83,92,79,13
2025-07-13,Sunday,Special,94,77,83,74,9
2025-07-14,Monday,Regular,177,167,180,162,18
2025-07-15,Tuesday,Regular,251,221,241,209,32
2025-07-16,Wednesday,Lunch,160,153,174,147,27
2025-07-17,Thursday,Breakfast,200,180,202,179,23
2025-07-18,Friday,Special,207,191,195,182,13
2025-07-19,Saturday,Breakfast,110,100,106,97,9
2025-07-20,Sunday,Lunch,82,70,72,66,6
2025-07-21,Monday,Lunch,237,226,254,217,37
2025-07-22,Tuesday,Special,226,200,212,189,23
2025-07-23,Wednesday,Breakfast,213,181,185,172,13
2025-07-24,Thursday,Regular,195,173,196,171,25
2025-07-25,Friday,Breakfast,150,142,151,133,18
2025-07-26,Saturday,Regular,119,104,116,100,16
2025-07-27,Sunday,Breakfast,54,52,58,49,9
2025-07-28,Monday,Lunch,189,184,198,174,24
2025-07-29,Tuesday,Breakfast,237,204,222,199,23
2025-07-30,Wednesday,Regular,262,220,248,219,29
2025-07-31,Thursday,Regular,217,183,193,172,21
2025-08-01,Friday,Lunch,177,148,162,141,21
2025-08-02,Saturday,Regular,116,107,120,101,19
2025-08-03,Sunday,Special,121,104,109,102,7
2025-08-04,Monday,Lunch,257,236,255,229,26
2025-08-05,Tuesday,Special,206,181,196,170,26
2025-08-06,Wednesday,Breakfast,193,160,175,152,23
2025-08-07,Thursday,Breakfast,153,136,154,133,21
2025-08-08,Friday,Breakfast,222,198,219,197,22
2025-08-09,Saturday,Lunch,168,143,146,136,10
2025-08-10,Sunday,Lunch,84,69,74,67,7
2025-08-11,Monday,Regular,257,242,250,228,22
2025-08-12,Tuesday,Regular,176,158,175,152,23
2025-08-13,Wednesday,Breakfast,176,146,148,145,3
2025-08-14,Thursday,Special,282,247,254,245,9
2025-08-15,Friday,Regular,220,213,229,202,27
2025-08-16,Saturday,Lunch,161,154,171,152,19
2025-08-17,Sunday,Regular,72,67,75,63,12
2025-08-18,Monday,Lunch,248,212,243,211,32
2025-08-19,Tuesday,Lunch,206,192,218,182,36
2025-08-20,Wednesday,Special,260,214,237,204,33
2025-08-21,Thursday,Lunch,207,201,229,194,35
2025-08-22,Friday,Lunch,253,241,255,238,17
2025-08-23,Saturday,Special,149,127,131,119,12
2025-08-24,Sunday,Breakfast,59,52,55,50,5
2025-08-25,Monday,Regular,279,252,278,248,30
2025-08-26,Tuesday,Lunch,192,170,192,164,28
2025-08-27,Wednesday,Special,269,221,250,214,36
2025-08-28,Thursday,Lunch,191,181,208,173,35
2025-08-29,Friday,Regular,221,195,211,190,21
2025-08-30,Saturday,Lunch,155,151,169,145,24
2025-08-31,Sunday,Lunch,88,82,86,77,9
2025-09-01,Monday,Lunch,173,149,157,142,15
2025-09-02,Tuesday,Lunch,184,151,173,145,28
2025-09-03,Wednesday,Regular,208,193,202,192,10
2025-09-04,Thursday,Regular,220,183,196,181,15
2025-09-05,Friday,Lunch,205,183,201,173,28
2025-09-06,Saturday,Lunch,151,129,147,126,21
2025-09-07,Sunday,Special,113,93,99,87,12
2025-09-08,Monday,Lunch,162,141,144,140,4
2025-09-09,Tuesday,Regular,208,201,231,191,40
2025-09-10,Wednesday,Breakfast,228,204,234,202,32
2025-09-11,Thursday,Special,280,239,260,233,27
2025-09-12,Friday,Regular,173,144,163,137,26
2025-09-13,Saturday,Regular,128,105,118,98,20
2025-09-14,Sunday,Lunch,64,62,69,59,10
2025-09-15,Monday,Special,255,237,243,230,13
2025-09-16,Tuesday,Lunch,196,164,186,163,23
2025-09-17,Wednesday,Lunch,273,262,284,260,24
2025-09-18,Thursday,Lunch,226,209,227,207,20
2025-09-19,Friday,Special,225,213,235,211,24
2025-09-20,Saturday,Lunch,158,147,165,144,21
2025-09-21,Sunday,Lunch,91,83,92,78,14
2025-09-22,Monday,Regular,266,255,261,252,9
2025-09-23,Tuesday,Lunch,169,147,164,139,25
2025-09-24,Wednesday,Special,282,265,279,252,27
2025-09-25,Thursday,Special,198,180,186,173,13
2025-09-26,Friday,Lunch,223,212,219,202,17
2025-09-27,Saturday,Lunch,162,149,170,140,30
2025-09-28,Sunday,Lunch,53,49,50,46,4
2025-09-29,Monday,Lunch,176,146,159,140,19
2025-09-30,Tuesday,Lunch,249,206,233,205,28
2025-10-01,Wednesday,Lunch,188,176,182,173,9
2025-10-02,Thursday,Regular,166,136,144,131,13
2025-10-03,Friday,Breakfast,165,135,140,130,10
2025-10-04,Saturday,Regular,103,86,97,83,14
2025-10-05,Sunday,Regular,78,67,75,66,9
2025-10-06,Monday,Special,263,227,259,215,44
2025-10-07,Tuesday,Regular,251,243,261,237,24
2025-10-08,Wednesday,Breakfast,121,107,113,102,11
2025-10-09,Thursday,Breakfast,176,150,153,146,7
2025-10-10,Friday,Special,195,174,189,165,24
2025-10-11,Saturday,Regular,116,109,122,107,15
2025-10-12,Sunday,Breakfast,50,42,43,41,2
2025-10-13,Monday,Lunch,162,153,165,144,21
2025-10-14,Tuesday,Special,197,169,184,161,23
2025-10-15,Wednesday,Breakfast,178,162,170,160,10
2025-10-16,Thursday,Lunch,170,151,154,142,12
2025-10-17,Friday,Special,246,240,267,235,32
2025-10-18,Saturday,Lunch,132,124,127,120,7
2025-10-19,Sunday,Regular,73,62,71,58,13
2025-10-20,Monday,Special,270,230,244,226,18
2025-10-21,Tuesday,Lunch,273,227,247,225,22
2025-10-22,Wednesday,Regular,189,179,190,171,19
2025-10-23,Thursday,Breakfast,152,141,158,134,24
2025-10-24,Friday,Lunch,278,232,255,227,28
2025-10-25,Saturday,Regular,105,101,103,98,5
2025-10-26,Sunday,Lunch,99,94,104,92,12
2025-10-27,Monday,Breakfast,175,157,173,152,21
